alert_id,ip_address,ip_address_v6,mac_address,report_date,assigned_to,severity,incident_type,description,suggested_solution,recommended_playbook
398,213.110.84.192,8c8c:7134:40d6:1c1:d5c5:f78d:d2a1:5c52,C3-15-57-6B-32-F0,7/3/2021,Summer (Lvl 2 Analyst),Critical,Infrastructure Maintenance/Development,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Export-Incidents-With-Comments
399,136.16.145.174,e7f8:4d0a:ae2a:c61b:70c6:abf3:23a0:cabf,DB-CE-B9-A6-10-5F,6/15/2021,Morty (Lvl 1 Analyst),Critical,Incident Response (Breach),"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,ForcepointNGFW
400,33.235.75.202,46f6:1e09:fba5:f7dc:3b0a:cb22:37cc:4e48,86-A8-32-C9-98-47,5/3/2022,Morty (Lvl 1 Analyst),High,Active Threat Hunting,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",PaloAlto-PAN-OS
401,100.236.197.25,28c5:8b31:5a3f:2742:478e:e003:c1e:39b3,65-4E-BF-4F-29-C6,10/18/2021,Summer (Lvl 2 Analyst),Critical,Forensics,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Revoke-AADSignInSessions
402,176.153.253.209,a198:5f5b:f321:5507:613f:ed80:56ef:f917,91-F3-DF-85-24-16,11/19/2021,Summer (Lvl 2 Analyst),High,Infrastructure Maintenance/Development,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.","In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Get-VirusTotalDomainReport
403,249.39.222.46,18a9:b801:5486:77d9:74fd:af14:8809:f6a6,33-AB-40-29-89-FD,2/9/2022,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",F5BigIP
404,207.247.33.252,5e52:8e5e:66c4:a0df:10d8:5f5d:1881:1080,75-DB-E9-90-6F-B6,9/23/2021,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Failed Brute Force Attempt),"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Create-IBMResilientIncident
405,228.209.228.135,cd88:99aa:9fb5:f572:120e:5506:6345:5168,E8-B6-1A-8E-C4-5F,7/15/2021,Rick (Lvl 3 Analyst),Critical,Passive Threat Detection (Maicious URL),"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",QuickStart-SentinelTriggers
406,27.93.60.63,c641:605d:b9cb:1724:ee2:bc2d:f972:1738,16-1E-9E-A6-43-47,5/13/2021,Morty (Lvl 1 Analyst),Critical,Infrastructure Maintenance/Development,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",Get-MerakiData-ConfigurationChanges
407,18.194.225.43,a763:c:e613:18af:91ab:72bf:c52f:2661,B9-A0-C2-DA-F5-7B,11/14/2021,Summer (Lvl 2 Analyst),Mild,Forensics,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Get-Microsoft-Covid19-Indicators
408,76.226.39.97,5bda:a85f:ad0:c56a:aa17:8fc4:902e:fbd0,BF-3D-5A-E8-64-75,3/16/2022,Summer (Lvl 2 Analyst),Critical,Passive Threat Detection (Maicious URL),Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",Enrich-SentinelIncident-GreyNoise-IP
409,46.21.34.121,93fe:1b11:e869:88b9:4b76:32a9:cfaa:b2f8,47-1B-7F-97-9D-70,7/29/2021,Summer (Lvl 2 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Update-VIPUsers-Watchlist-from-AzureAD-Group
410,126.35.29.215,3040:2795:c6d2:e406:f07c:6bf9:4e14:e2fa,AB-5F-35-6A-98-0B,6/21/2021,Summer (Lvl 2 Analyst),Medium,Forensics,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Send-IngestionCostAnomalyAlert
411,59.79.17.50,f1be:2d77:ef23:83cd:ad55:b5f:f432:f6f8,BA-F2-E5-C4-EB-CE,2/23/2022,Rick (Lvl 3 Analyst),Critical,Passive Threat Detection (Maicious URL),Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Get-MerakiData-ConfigurationChanges
412,223.245.47.43,9a77:dedd:8eb1:62b5:809d:4ab:7590:93e3,29-3F-05-FB-FE-8C,12/10/2021,Rick (Lvl 3 Analyst),Mild,Active Threat Hunting,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Isolate-AzureVMtoNSG
413,56.134.248.19,9f37:5cf:61c:15a5:d047:405b:d9cd:21fe,1A-88-3B-6E-3C-4A,12/2/2021,Summer (Lvl 2 Analyst),High,Infrastructure Maintenance/Development,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,ForcepointNGFW
414,251.136.40.208,c0a1:a320:47c3:a62e:3b67:4221:5906:c60a,C3-07-46-E9-E3-6D,7/8/2021,Morty (Lvl 1 Analyst),Medium,Passive Threat Detection (Maicious URL),"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Restrict-MDEUrl
415,38.3.247.30,d23:abcd:2fba:654e:8aab:5c07:49ae:d758,97-20-81-C9-06-E8,1/25/2022,Rick (Lvl 3 Analyst),Critical,Incident Response (Phishing),"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Resolve-McasInfrequentCountryAlerts
416,22.184.39.246,c244:164c:c49a:647f:7ed8:df6a:8062:1999,08-30-58-B9-A4-3C,1/6/2022,Rick (Lvl 3 Analyst),Medium,Active Threat Hunting,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Get-MDEInvestigationPackage
417,233.120.63.68,b104:a7ef:f423:69c6:d5a:31fd:529e:bda3,14-B2-F0-C7-77-44,8/2/2021,Rick (Lvl 3 Analyst),Mild,Forensics,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",AS_Alert_Spiderfoot_Scan
418,92.13.117.90,db35:6135:7cba:cd23:bfce:609e:c5e9:4c08,8E-74-BB-22-D3-E3,7/29/2021,Morty (Lvl 1 Analyst),High,Forensics,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Restrict-MDEIPAddress
419,103.249.191.11,a484:5a5d:10e8:de90:1312:1eb3:d931:7810,4C-32-26-FD-F2-F2,8/10/2021,Rick (Lvl 3 Analyst),Mild,Passive Threat Detection (Maicious URL),"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Get-MDEProcessActivityWithin30Mins
420,232.133.141.13,ffff:761b:7891:4c12:8b62:dd5c:2162:5d26,C5-65-14-95-C4-84,7/19/2021,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Traffic from known Bad IP),"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",CrowdStrike
421,116.184.138.218,5756:71ed:2a7d:95d3:1e6b:c02c:98f0:ae2e,86-12-61-0E-1A-CE,4/16/2022,Summer (Lvl 2 Analyst),Critical,Passive Threat Detection (Failed Brute Force Attempt),"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Get-MDEFileActivityWithin30Mins
422,232.217.87.43,2ba2:d440:d11c:5e44:e630:d5af:b059:d2f8,5C-EF-AD-36-D3-DB,9/9/2021,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Maicious URL),"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Get-MDEFileActivityWithin30Mins
423,242.41.5.96,4bae:1f88:5e14:42be:8e34:b1cb:7e92:6380,AC-07-E4-3D-F0-8B,10/4/2021,Morty (Lvl 1 Analyst),Mild,Passive Threat Detection (Failed Brute Force Attempt),"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Edgescan-AzureSentinel-Integration
424,38.198.170.103,c919:2db1:50d0:b69a:616f:2689:9f89:f451,0C-33-A6-55-BF-3A,12/12/2021,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Post-Tags-And-Comments-To-Your-IntSights-Account
425,42.243.248.29,2423:d4ec:a37c:4d3:b226:9b12:cecc:ffa8,23-9C-45-32-BD-23,5/15/2021,Rick (Lvl 3 Analyst),Mild,Passive Threat Detection (Maicious URL),"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",RecordedFuture_COVID19_Related_Domain_Lure_Detect
426,219.77.156.137,813d:b96d:58c:35b:8b6:c978:afec:5d90,98-E4-4D-93-FE-60,3/25/2022,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Traffic from known Bad IP),"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",Get-AlienVault_OTX
427,97.70.138.42,9c7e:971b:c014:c8d4:7e2b:ea41:d836:d7ab,8B-72-5F-CF-88-D6,4/10/2022,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",RecordedFuture_IP_ActCommC2C
428,216.108.115.90,ca2f:940f:faaf:3043:a4d5:2d10:9c36:474a,1A-21-6D-06-0C-99,9/3/2021,Summer (Lvl 2 Analyst),Critical,Passive Threat Detection (Traffic from known Bad IP),"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",HaveIBeenPwned-Email
429,241.167.87.175,66c9:1e54:44d2:84d:dcdc:ce05:a450:d7d4,8A-11-9B-70-B7-1F,12/23/2021,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Maicious URL),Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",CrowdStrike
430,78.99.66.161,e1f5:b7bd:f2e1:5a0e:a1a9:240e:f062:8c6c,AE-CC-78-BC-2D-15,9/17/2021,Morty (Lvl 1 Analyst),Medium,Incident Response (Phishing),"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",Send-email-with-formatted-incident-report
431,58.76.54.75,433e:9ca3:2a00:db98:258a:e68e:7f94:c09e,CB-DA-F5-E7-1F-C5,6/2/2021,Summer (Lvl 2 Analyst),Critical,Incident Response (Breach),"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Reset-AADUserPassword
432,209.31.81.120,a75d:f48b:5a5a:eda8:6fc3:1707:4fed:64e6,E4-ED-83-39-E2-3E,12/2/2021,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Maicious URL),"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",AzureFirewall
433,19.237.153.215,eb97:8a6:4fb7:8fee:8176:a23e:db23:b61c,F4-B5-6A-8B-DF-C5,11/30/2021,Morty (Lvl 1 Analyst),Mild,Incident Response (Breach),"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Send-AzCommunicationsSMSMessage
434,9.75.70.58,5d2a:84e5:c2f8:755c:ed42:5ee0:82e3:536f,DB-54-85-BE-3A-3E,2/21/2022,Morty (Lvl 1 Analyst),High,Incident Response (Phishing),"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,PaloAlto-PAN-OS
